<msg_type>	<time>	<packet_type>	<seq>	<size>	<ack>
rcv	31781.552	S	54007	0	0
snd	31781.614	SA	14421	0	54008
rcv	31782.102	A	54008	0	14422
rcv	31833.91	D	54008	100	14422
snd	31833.979	A	14422	0	54108
rcv	32027.09	D	54108	100	14422
snd	32027.189	A	14422	0	54208
rcv	32123.663	D	54208	100	14422
snd	32123.734	A	14422	0	54308
rcv	32184.683	D	54308	100	14422
snd	32184.748	A	14422	0	54408
rcv	32337.103	D	54108	100	14422
snd	32337.167	A	14422	0	54408
rcv	32418.479	D	54208	100	14422
snd	32418.542	A	14422	0	54408
rcv	32540.213	D	54308	100	14422
snd	32540.278	A	14422	0	54408
rcv	32621.535	D	54408	100	14422
snd	32621.602	A	14422	0	54508
rcv	32707.924	D	54508	100	14422
snd	32707.994	A	14422	0	54608
rcv	32768.945	D	54608	100	14422
snd	32769.015	A	14422	0	54708
rcv	32845.19	D	54708	100	14422
snd	32845.299	A	14422	0	54808
rcv	32921.448	D	54308	100	14422
snd	32921.511	A	14422	0	54808
rcv	33018.058	D	54808	100	14422
snd	33018.125	A	14422	0	54908
rcv	33257.295	D	54408	100	14422
snd	33257.361	A	14422	0	54908
rcv	33414.904	D	54908	100	14422
snd	33414.972	A	14422	0	55008
rcv	33496.269	D	54508	100	14422
snd	33496.335	A	14422	0	55008
rcv	33608.194	D	55008	100	14422
snd	33608.261	A	14422	0	55108
rcv	33776.006	D	54708	100	14422
snd	33776.071	A	14422	0	55108
rcv	33837.046	D	55108	100	14422
snd	33837.113	A	14422	0	55208
rcv	33908.301	D	55208	100	14422
snd	33908.367	A	14422	0	55308
rcv	33989.711	D	54808	100	14422
snd	33989.775	A	14422	0	55308
rcv	35393.304	D	54908	100	14422
snd	35393.373	A	14422	0	55308
rcv	35454.375	D	55308	100	14422
snd	35454.442	A	14422	0	55408
rcv	36807.969	D	55408	100	14422
snd	36808.039	A	14422	0	55508
rcv	37244.795	D	55108	100	14422
snd	37244.867	A	14422	0	55508
rcv	37417.61	D	55508	100	14422
snd	37417.681	A	14422	0	55608
rcv	37544.714	D	55608	100	14422
snd	37544.817	A	14422	0	55708
rcv	37732.945	D	55708	100	14422
snd	37733.014	A	14422	0	55808
rcv	39406.686	D	55308	100	14422
snd	39406.752	A	14422	0	55808
rcv	39584.619	D	55808	100	14422
snd	39584.687	A	14422	0	55908
rcv	39777.95	D	55908	100	14422
snd	39778.018	A	14422	0	56008
rcv	40001.57	D	56008	100	14422
snd	40001.637	A	14422	0	56108
rcv	40184.623	D	56108	100	14422
snd	40184.688	A	14422	0	56208
rcv	40367.667	D	56208	100	14422
snd	40367.733	A	14422	0	56308
rcv	40550.712	D	56308	100	14422
snd	40550.777	A	14422	0	56408
rcv	40738.904	D	56408	100	14422
snd	40738.97	A	14422	0	56508
rcv	40906.652	D	56508	100	14422
snd	40906.725	A	14422	0	56608
rcv	40967.688	D	56608	100	14422
snd	40967.755	A	14422	0	56708
rcv	41175.949	D	56708	100	14422
snd	41176.015	A	14422	0	56808
rcv	43624.515	D	56808	100	14422
snd	43624.584	A	14422	0	56908
rcv	43797.659	D	56908	100	14422
snd	43797.725	A	14422	0	57008
rcv	49223.726	D	56808	100	14422
snd	49223.792	A	14422	0	57008
rcv	49406.77	D	56908	100	14422
snd	49406.834	A	14422	0	57008
rcv	54516.181	D	57008	28	14422
snd	54516.25	A	14422	0	57036
rcv	56030.032	F	57036	0	14422
snd	56031.919	A	14422	0	57037
snd	56031.994	F	14422	0	57037
=====================================================
Amount of (original) Data Transferred (in bytes): 3028
Total Segments Received: 48
Number of (original) Data Segments Received: 44
Data segments with Bit errors: 0
Number of duplicate segments received: 13
Number of Duplicate Acknowledgements received: 13
